booking_id,customer_id,service_type,service_price,booking_date,appointment_date,appointment_hour,booking_lead_time_days,past_visit_count,past_cancellation_count,past_no_show_count,payment_method,branch,day_of_week,is_weekend,customer_age,gender,appointment_outcome
BK_00036,CUST_1455,Spa & Massage,3000,2025-09-07,2025-09-27,19,20,47,10,2,Online Prepaid,Whitefield,Saturday,1,18,Female,Show
BK_00037,CUST_0050,Spa & Massage,3000,2025-09-07,2025-09-19,11,12,1,0,0,UPI Prepaid,Whitefield,Friday,0,18,Female,No-Show
BK_00038,CUST_1219,Haircut,500,2026-01-14,2026-01-21,18,7,1,0,0,Pay at Salon (Cash),Koramangala,Wednesday,0,27,Male,Show
BK_00039,CUST_2000,Bridal Package,15000,2025-12-13,2025-12-18,19,5,3,0,0,Online Prepaid,HSR Layout,Thursday,0,38,Female,Show
BK_00040,CUST_1441,Spa & Massage,3000,2026-02-13,2026-02-15,15,2,2,0,0,Pay at Salon (Cash),Koramangala,Sunday,1,19,Female,No-Show
BK_00041,CUST_0581,Hair Coloring,2500,2025-10-28,2025-10-30,14,2,4,1,0,Card on File,Jayanagar,Thursday,0,30,Female,Show
BK_00042,CUST_0538,Facial,1500,2025-10-16,2025-10-20,11,4,14,0,0,Pay at Salon (Cash),HSR Layout,Monday,0,20,Female,No-Show
BK_00043,CUST_1862,Facial,1500,2025-09-10,2025-09-22,13,12,7,0,0,Pay at Salon (Cash),HSR Layout,Monday,0,37,Female,Show
BK_00044,CUST_0799,Haircut,500,2025-09-25,2025-10-02,19,7,7,0,0,Online Prepaid,Whitefield,Thursday,0,36,Male,Show
BK_00045,CUST_1144,Spa & Massage,3000,2025-10-13,2025-10-29,20,16,5,0,0,Pay at Salon (Cash),Whitefield,Wednesday,0,33,Male,Show
BK_00046,CUST_1731,Facial,1500,2026-02-14,2026-02-17,10,3,5,0,0,Online Prepaid,Koramangala,Tuesday,0,28,Female,Show
BK_00047,CUST_0905,Hair Treatment,4000,2025-11-06,2025-11-14,17,8,2,0,0,Card on File,Jayanagar,Friday,0,39,Female,Show
BK_00048,CUST_0204,Hair Treatment,4000,2026-02-06,2026-02-10,12,4,8,0,0,UPI Prepaid,Koramangala,Tuesday,0,39,Female,No-Show
BK_00049,CUST_1236,Hair Treatment,4000,2026-02-02,2026-02-04,9,2,2,0,0,Pay at Salon (Cash),Koramangala,Wednesday,0,48,Male,Show
BK_00050,CUST_1621,Haircut,500,2026-01-07,2026-01-08,18,1,2,0,0,Pay at Salon (Cash),Koramangala,Thursday,0,43,Male,Show
BK_00051,CUST_0449,Haircut,500,2025-12-11,2025-12-18,11,7,15,0,0,Card on File,Koramangala,Thursday,0,20,Female,Show
BK_00052,CUST_1584,Hair Treatment,4000,2025-11-17,2025-11-23,16,6,7,0,0,Online Prepaid,Koramangala,Sunday,1,24,Female,Show
BK_00053,CUST_1523,Facial,1500,2026-01-10,2026-01-14,19,4,15,0,0,Pay at Salon (Cash),HSR Layout,Wednesday,0,31,Female,Show
BK_00054,CUST_1620,Hair Coloring,2500,2025-11-18,2025-11-20,11,2,18,0,0,Pay at Salon (Cash),HSR Layout,Thursday,0,30,Female,No-Show
BK_00055,CUST_1124,Haircut,500,2025-12-04,2025-12-08,13,4,2,0,0,Pay at Salon (Cash),Koramangala,Monday,0,22,Female,Show
BK_00056,CUST_1932,Haircut,500,2025-12-01,2025-12-03,10,2,2,0,0,Card on File,Jayanagar,Wednesday,0,30,Female,Show
BK_00057,CUST_0396,Haircut,500,2025-10-05,2025-10-06,17,1,9,0,0,Card on File,Indiranagar,Monday,0,23,Male,Show
BK_00058,CUST_1619,Facial,1500,2025-08-24,2025-08-29,11,5,9,0,0,UPI Prepaid,Koramangala,Friday,0,38,Female,No-Show
BK_00059,CUST_0663,Haircut,500,2026-02-11,2026-02-17,9,6,16,2,1,Online Prepaid,Whitefield,Tuesday,0,24,Male,Show
BK_00060,CUST_1897,Hair Coloring,2500,2025-10-11,2025-10-14,11,3,1,0,0,Card on File,Whitefield,Tuesday,0,48,Male,Show
BK_00061,CUST_0732,Hair Coloring,2500,2025-12-20,2025-12-21,11,1,4,0,0,Online Prepaid,Koramangala,Sunday,1,39,Female,Show
BK_00062,CUST_1733,Facial,1500,2025-08-29,2025-09-04,17,6,5,0,0,Card on File,Koramangala,Thursday,0,34,Male,Show
BK_00063,CUST_0935,Hair Treatment,4000,2025-10-27,2025-11-01,18,5,3,0,0,UPI Prepaid,Koramangala,Saturday,1,51,Male,Show
BK_00064,CUST_0643,Hair Treatment,4000,2025-10-25,2025-11-22,20,28,2,0,0,Card on File,Koramangala,Saturday,1,51,Female,Show
BK_00065,CUST_0323,Haircut,500,2025-12-29,2026-01-05,20,7,9,0,0,UPI Prepaid,Indiranagar,Monday,0,35,Male,Show
BK_00066,CUST_1810,Facial,1500,2025-12-26,2025-12-31,11,5,1,0,0,Online Prepaid,HSR Layout,Wednesday,0,38,Male,Show
BK_00067,CUST_1334,Hair Treatment,4000,2025-10-10,2025-10-22,15,12,1,0,0,Online Prepaid,HSR Layout,Wednesday,0,43,Female,Show
BK_00068,CUST_0746,Hair Coloring,2500,2025-10-18,2025-10-24,12,6,1,0,0,Pay at Salon (Cash),Whitefield,Friday,0,27,Male,Show
BK_00069,CUST_1639,Hair Coloring,2500,2025-09-28,2025-10-01,12,3,1,0,0,Pay at Salon (Cash),Whitefield,Wednesday,0,33,Female,Show
BK_00070,CUST_0787,Spa & Massage,3000,2025-12-16,2025-12-26,15,10,1,0,0,UPI Prepaid,Koramangala,Friday,0,20,Female,Show
BK_00071,CUST_1364,Spa & Massage,3000,2026-01-14,2026-01-19,17,5,1,0,0,UPI Prepaid,Indiranagar,Monday,0,38,Female,Show
BK_00072,CUST_1445,Facial,1500,2025-11-18,2025-11-22,13,4,1,0,0,Card on File,Koramangala,Saturday,1,23,Female,No-Show
BK_00073,CUST_0119,Haircut,500,2025-09-02,2025-09-04,14,2,2,0,0,Card on File,Koramangala,Thursday,0,30,Female,No-Show
BK_00074,CUST_0229,Haircut,500,2025-11-22,2025-11-28,12,6,6,0,0,Pay at Salon (Cash),Whitefield,Friday,0,32,Female,No-Show
BK_00075,CUST_0996,Hair Treatment,4000,2026-02-04,2026-02-20,18,16,9,0,0,UPI Prepaid,Koramangala,Friday,0,35,Female,Show
BK_00076,CUST_1768,Haircut,500,2025-10-09,2025-10-12,12,3,13,0,0,Card on File,Koramangala,Sunday,1,54,Female,Show
BK_00077,CUST_0517,Hair Treatment,4000,2026-02-09,2026-02-10,19,1,2,0,0,Online Prepaid,Jayanagar,Tuesday,0,43,Female,No-Show
BK_00078,CUST_1468,Haircut,500,2026-02-15,2026-02-16,11,1,7,0,0,Card on File,Whitefield,Monday,0,31,Male,Show
BK_00079,CUST_0300,Hair Coloring,2500,2026-01-01,2026-01-07,17,6,5,0,0,Online Prepaid,Koramangala,Wednesday,0,46,Male,Show
BK_00080,CUST_0671,Bridal Package,15000,2025-12-13,2025-12-15,9,2,2,0,0,Card on File,Jayanagar,Monday,0,18,Male,Show
BK_00081,CUST_0525,Bridal Package,15000,2025-10-31,2025-11-02,17,2,5,0,0,Pay at Salon (Cash),Indiranagar,Sunday,1,21,Male,Show
BK_00082,CUST_0757,Hair Treatment,4000,2026-01-04,2026-01-06,13,2,1,0,0,UPI Prepaid,Whitefield,Tuesday,0,18,Female,Show
BK_00083,CUST_0864,Haircut,500,2025-08-29,2025-09-03,19,5,2,0,0,Pay at Salon (Cash),Koramangala,Wednesday,0,23,Female,No-Show
BK_00084,CUST_1724,Spa & Massage,3000,2026-02-18,2026-02-24,12,6,1,0,0,Pay at Salon (Cash),Jayanagar,Tuesday,0,38,Male,Show
BK_00085,CUST_0008,Haircut,500,2026-01-18,2026-01-19,12,1,1,0,0,Pay at Salon (Cash),Koramangala,Monday,0,42,Female,Show
BK_00086,CUST_1932,Facial,1500,2025-10-26,2025-10-27,11,1,2,0,0,UPI Prepaid,Whitefield,Monday,0,30,Female,Show
BK_00087,CUST_0738,Facial,1500,2025-10-13,2025-10-18,17,5,5,0,0,UPI Prepaid,Whitefield,Saturday,1,32,Female,Show
BK_00088,CUST_1488,Facial,1500,2026-02-02,2026-02-03,11,1,1,0,0,UPI Prepaid,Jayanagar,Tuesday,0,37,Female,Show
BK_00089,CUST_1961,Spa & Massage,3000,2025-11-13,2025-11-20,14,7,3,0,0,Card on File,Jayanagar,Thursday,0,23,Male,Show
BK_00090,CUST_0869,Spa & Massage,3000,2025-09-14,2025-09-16,19,2,2,0,0,Card on File,Jayanagar,Tuesday,0,36,Male,Show
BK_00091,CUST_0192,Spa & Massage,3000,2025-10-15,2025-10-18,20,3,2,0,0,Pay at Salon (Cash),Whitefield,Saturday,1,38,Female,Show
BK_00092,CUST_0742,Facial,1500,2025-09-09,2025-09-10,18,1,5,0,0,Online Prepaid,Jayanagar,Wednesday,0,18,Male,Show
BK_00093,CUST_0280,Bridal Package,15000,2025-12-06,2025-12-09,13,3,3,0,0,Online Prepaid,HSR Layout,Tuesday,0,32,Male,Show
BK_00094,CUST_0842,Spa & Massage,3000,2025-11-08,2025-11-16,17,8,6,0,0,Pay at Salon (Cash),Jayanagar,Sunday,1,24,Female,Show
BK_00095,CUST_1979,Hair Coloring,2500,2025-12-24,2025-12-25,11,1,4,0,0,Online Prepaid,Indiranagar,Thursday,0,56,Male,Show
BK_00096,CUST_1145,Haircut,500,2025-11-02,2025-11-12,20,10,6,0,1,Online Prepaid,Whitefield,Wednesday,0,25,Female,Show
BK_00097,CUST_1363,Hair Coloring,2500,2026-01-07,2026-01-08,10,1,6,0,0,Card on File,Koramangala,Thursday,0,21,Female,Show
BK_00098,CUST_1492,Hair Coloring,2500,2025-10-20,2025-10-28,12,8,6,0,0,Online Prepaid,Indiranagar,Tuesday,0,46,Male,Show
BK_00099,CUST_1983,Bridal Package,15000,2025-12-29,2025-12-31,10,2,5,0,0,Online Prepaid,Koramangala,Wednesday,0,35,Female,Show
BK_00100,CUST_1620,Spa & Massage,3000,2025-10-02,2025-10-08,18,6,18,0,0,Card on File,Indiranagar,Wednesday,0,30,Female,Show
BK_00101,CUST_0262,Hair Treatment,4000,2025-12-19,2025-12-23,19,4,8,0,0,Online Prepaid,Indiranagar,Tuesday,0,52,Female,Show
BK_00102,CUST_0899,Hair Treatment,4000,2025-10-23,2025-10-24,11,1,3,0,0,Pay at Salon (Cash),Koramangala,Friday,0,40,Female,Show
BK_00103,CUST_0366,Haircut,500,2025-11-25,2025-11-28,19,3,4,0,0,Online Prepaid,HSR Layout,Friday,0,21,Female,No-Show
BK_00104,CUST_0409,Hair Coloring,2500,2025-10-29,2025-11-07,11,9,17,0,0,Pay at Salon (Cash),Koramangala,Friday,0,28,Male,No-Show
BK_00105,CUST_0316,Haircut,500,2025-08-24,2025-08-31,9,7,5,0,0,Pay at Salon (Cash),HSR Layout,Sunday,1,31,Female,No-Show
BK_00106,CUST_0658,Haircut,500,2025-12-22,2025-12-25,10,3,4,0,0,Pay at Salon (Cash),HSR Layout,Thursday,0,39,Female,Show
BK_00107,CUST_0222,Hair Coloring,2500,2025-10-18,2025-10-27,13,9,1,0,0,Pay at Salon (Cash),Koramangala,Monday,0,33,Female,Show
BK_00108,CUST_1249,Hair Treatment,4000,2026-01-05,2026-01-16,15,11,6,0,0,Online Prepaid,Whitefield,Friday,0,40,Female,Show
BK_00109,CUST_1112,Hair Treatment,4000,2026-01-08,2026-01-17,11,9,17,0,0,Card on File,Whitefield,Saturday,1,30,Female,No-Show
BK_00110,CUST_1813,Spa & Massage,3000,2025-09-01,2025-09-06,12,5,7,0,0,Pay at Salon (Cash),Indiranagar,Saturday,1,18,Female,No-Show
BK_00111,CUST_0664,Hair Coloring,2500,2026-01-14,2026-01-15,18,1,1,0,0,Online Prepaid,Whitefield,Thursday,0,23,Female,Show
BK_00112,CUST_1681,Bridal Package,15000,2026-02-19,2026-02-23,18,4,9,0,0,Online Prepaid,Jayanagar,Monday,0,33,Male,No-Show
BK_00113,CUST_0408,Hair Treatment,4000,2025-11-13,2025-11-14,19,1,5,0,0,Online Prepaid,Koramangala,Friday,0,18,Other,Show
BK_00114,CUST_1159,Bridal Package,15000,2025-10-18,2025-10-19,13,1,8,0,0,Card on File,Whitefield,Sunday,1,32,Female,Show
BK_00115,CUST_1537,Spa & Massage,3000,2026-01-07,2026-01-26,9,19,8,0,0,Pay at Salon (Cash),Indiranagar,Monday,0,32,Female,No-Show
BK_00116,CUST_1695,Haircut,500,2026-01-07,2026-01-09,10,2,10,0,0,UPI Prepaid,Indiranagar,Friday,0,40,Male,No-Show
BK_00117,CUST_0913,Hair Treatment,4000,2025-11-12,2025-11-17,19,5,2,0,0,Pay at Salon (Cash),Jayanagar,Monday,0,30,Female,Show
BK_00118,CUST_1768,Hair Coloring,2500,2025-11-18,2025-11-22,9,4,13,0,0,UPI Prepaid,Whitefield,Saturday,1,54,Female,Show
BK_00119,CUST_1854,Haircut,500,2026-01-16,2026-01-21,19,5,3,0,0,Pay at Salon (Cash),HSR Layout,Wednesday,0,34,Other,No-Show
BK_00120,CUST_1972,Facial,1500,2025-09-24,2025-09-25,11,1,5,0,0,UPI Prepaid,Indiranagar,Thursday,0,20,Female,Show
BK_00121,CUST_1122,Haircut,500,2026-01-21,2026-02-17,15,27,18,1,0,UPI Prepaid,Koramangala,Tuesday,0,24,Other,Show
BK_00122,CUST_0529,Haircut,500,2025-08-28,2025-09-10,20,13,13,0,0,Card on File,Indiranagar,Wednesday,0,18,Female,Show
BK_00123,CUST_1445,Haircut,500,2025-11-19,2025-11-21,13,2,1,0,0,Online Prepaid,Whitefield,Friday,0,23,Female,Show
BK_00124,CUST_1102,Haircut,500,2025-08-29,2025-08-31,20,2,14,0,1,Pay at Salon (Cash),Jayanagar,Sunday,1,38,Male,Show
BK_00125,CUST_0582,Spa & Massage,3000,2025-10-03,2025-10-08,17,5,1,0,0,Online Prepaid,Koramangala,Wednesday,0,21,Male,Show
BK_00126,CUST_1358,Bridal Package,15000,2025-12-26,2025-12-27,19,1,1,0,0,Pay at Salon (Cash),HSR Layout,Saturday,1,26,Female,Show
BK_00127,CUST_0146,Facial,1500,2025-10-04,2025-10-05,18,1,8,0,0,Pay at Salon (Cash),Indiranagar,Sunday,1,32,Female,No-Show
BK_00128,CUST_0548,Hair Coloring,2500,2026-02-01,2026-02-08,9,7,3,0,0,Pay at Salon (Cash),Koramangala,Sunday,1,18,Female,Show
BK_00129,CUST_1866,Haircut,500,2026-01-02,2026-01-09,10,7,1,0,0,Card on File,Indiranagar,Friday,0,34,Male,No-Show
BK_00130,CUST_0146,Haircut,500,2025-09-04,2025-09-08,20,4,8,0,0,UPI Prepaid,Indiranagar,Monday,0,32,Female,No-Show
BK_00131,CUST_1626,Hair Treatment,4000,2025-10-10,2025-10-13,13,3,2,0,0,Online Prepaid,Jayanagar,Monday,0,31,Female,Show
BK_00132,CUST_0516,Spa & Massage,3000,2025-11-23,2025-12-03,16,10,22,1,0,UPI Prepaid,Indiranagar,Wednesday,0,32,Female,Show
BK_00133,CUST_1873,Hair Treatment,4000,2025-11-26,2025-11-28,18,2,15,0,0,Pay at Salon (Cash),Whitefield,Friday,0,32,Male,Show
BK_00134,CUST_0876,Hair Coloring,2500,2026-02-15,2026-02-22,9,7,7,0,0,Card on File,Whitefield,Sunday,1,31,Male,No-Show
BK_00135,CUST_0812,Hair Coloring,2500,2026-01-29,2026-02-05,19,7,3,0,0,Pay at Salon (Cash),Indiranagar,Thursday,0,38,Male,Show
BK_00136,CUST_1318,Spa & Massage,3000,2026-01-10,2026-01-11,15,1,3,0,0,Pay at Salon (Cash),Indiranagar,Sunday,1,39,Male,Show
BK_00137,CUST_0025,Hair Treatment,4000,2025-11-22,2025-11-29,9,7,6,0,0,Pay at Salon (Cash),Jayanagar,Saturday,1,46,Female,No-Show
BK_00138,CUST_0271,Spa & Massage,3000,2026-01-28,2026-01-30,18,2,1,0,0,Pay at Salon (Cash),Whitefield,Friday,0,34,Female,Show
BK_00139,CUST_1296,Spa & Massage,3000,2026-02-14,2026-02-15,10,1,4,0,0,Online Prepaid,Whitefield,Sunday,1,30,Female,Show
BK_00140,CUST_0226,Haircut,500,2025-10-05,2025-10-07,11,2,1,0,0,Pay at Salon (Cash),Koramangala,Tuesday,0,39,Female,Show
BK_00141,CUST_0263,Spa & Massage,3000,2025-11-21,2025-11-26,16,5,2,0,0,Online Prepaid,Indiranagar,Wednesday,0,49,Female,No-Show
BK_00142,CUST_0875,Haircut,500,2025-10-31,2025-11-04,14,4,15,1,0,Online Prepaid,Whitefield,Tuesday,0,22,Male,Show
BK_00143,CUST_0913,Hair Coloring,2500,2026-02-14,2026-02-22,19,8,2,0,0,Online Prepaid,Koramangala,Sunday,1,30,Female,Show
BK_00144,CUST_1724,Haircut,500,2025-10-26,2025-10-28,20,2,1,0,0,Online Prepaid,Indiranagar,Tuesday,0,38,Male,Show
BK_00145,CUST_1708,Spa & Massage,3000,2025-10-17,2025-10-18,18,1,3,0,0,Online Prepaid,Jayanagar,Saturday,1,35,Female,Show
BK_00146,CUST_0004,Haircut,500,2025-10-23,2025-10-26,13,3,8,0,0,Online Prepaid,Koramangala,Sunday,1,31,Male,Show
BK_00147,CUST_0284,Hair Treatment,4000,2026-01-03,2026-01-07,13,4,5,0,0,Online Prepaid,Koramangala,Wednesday,0,43,Female,Show
BK_00148,CUST_1479,Hair Coloring,2500,2025-11-04,2025-11-10,12,6,5,0,0,Pay at Salon (Cash),Koramangala,Monday,0,40,Female,Show
BK_00149,CUST_0808,Haircut,500,2025-09-16,2025-09-17,19,1,1,0,0,Card on File,Koramangala,Wednesday,0,27,Female,No-Show
BK_00150,CUST_0337,Hair Treatment,4000,2026-01-28,2026-02-14,18,17,3,0,0,Pay at Salon (Cash),Whitefield,Saturday,1,27,Female,No-Show
BK_00151,CUST_1614,Spa & Massage,3000,2025-12-18,2026-01-02,12,15,12,0,0,Pay at Salon (Cash),Indiranagar,Friday,0,30,Female,Show
BK_00152,CUST_1251,Hair Coloring,2500,2025-12-22,2025-12-25,9,3,13,0,0,Online Prepaid,Jayanagar,Thursday,0,18,Male,Show
BK_00153,CUST_1204,Haircut,500,2026-01-09,2026-01-12,13,3,6,0,0,UPI Prepaid,Jayanagar,Monday,0,45,Female,Show
BK_00154,CUST_1755,Spa & Massage,3000,2025-12-17,2025-12-22,12,5,5,0,0,Card on File,HSR Layout,Monday,0,39,Female,Show
BK_00155,CUST_0488,Haircut,500,2026-02-13,2026-02-20,13,7,1,0,0,Card on File,Koramangala,Friday,0,39,Female,Show
BK_00156,CUST_1958,Spa & Massage,3000,2025-11-23,2025-11-29,14,6,9,0,0,Pay at Salon (Cash),Indiranagar,Saturday,1,22,Male,Show
BK_00157,CUST_0785,Spa & Massage,3000,2025-10-21,2025-10-23,10,2,2,0,0,Online Prepaid,Whitefield,Thursday,0,30,Male,Show
BK_00158,CUST_0297,Hair Coloring,2500,2025-08-30,2025-09-03,19,4,8,0,0,Card on File,Koramangala,Wednesday,0,29,Female,Show
BK_00159,CUST_1712,Spa & Massage,3000,2025-08-25,2025-08-31,11,6,6,0,0,Pay at Salon (Cash),Indiranagar,Sunday,1,31,Male,Show
BK_00160,CUST_0147,Hair Coloring,2500,2025-09-23,2025-09-24,10,1,1,0,0,Pay at Salon (Cash),HSR Layout,Wednesday,0,18,Female,Show
BK_00161,CUST_0534,Spa & Massage,3000,2025-12-30,2026-01-07,17,8,1,0,0,Pay at Salon (Cash),Koramangala,Wednesday,0,18,Other,Show
BK_00162,CUST_1912,Haircut,500,2026-02-15,2026-02-17,18,2,1,0,0,UPI Prepaid,HSR Layout,Tuesday,0,18,Female,No-Show
BK_00163,CUST_0086,Haircut,500,2025-09-22,2025-09-23,13,1,8,0,0,UPI Prepaid,Indiranagar,Tuesday,0,25,Female,Show
BK_00164,CUST_0888,Facial,1500,2025-10-01,2025-10-02,11,1,5,0,0,UPI Prepaid,Koramangala,Thursday,0,18,Female,Show
BK_00165,CUST_0712,Haircut,500,2025-11-26,2025-12-02,12,6,2,0,0,Online Prepaid,Koramangala,Tuesday,0,35,Male,Show
BK_00166,CUST_1200,Haircut,500,2025-12-20,2025-12-24,19,4,12,0,0,Pay at Salon (Cash),HSR Layout,Wednesday,0,27,Female,No-Show
BK_00167,CUST_0518,Hair Coloring,2500,2025-11-01,2025-11-14,13,13,2,0,0,Card on File,Whitefield,Friday,0,18,Male,Show
BK_00168,CUST_0552,Hair Treatment,4000,2025-12-26,2026-01-01,12,6,2,0,0,Card on File,Whitefield,Thursday,0,46,Female,Show
BK_00169,CUST_0036,Hair Coloring,2500,2025-10-15,2025-10-17,11,2,22,2,1,Pay at Salon (Cash),Jayanagar,Friday,0,39,Female,Show
BK_00170,CUST_1638,Hair Treatment,4000,2026-01-10,2026-01-13,11,3,2,0,0,UPI Prepaid,Whitefield,Tuesday,0,18,Female,Show
BK_00171,CUST_1918,Bridal Package,15000,2025-12-19,2025-12-24,20,5,2,0,0,UPI Prepaid,Koramangala,Wednesday,0,34,Female,Show
BK_00172,CUST_0116,Bridal Package,15000,2026-02-13,2026-02-21,20,8,11,1,0,Card on File,Whitefield,Saturday,1,34,Female,Show
BK_00173,CUST_1609,Spa & Massage,3000,2025-09-22,2025-09-23,18,1,2,0,0,Pay at Salon (Cash),Koramangala,Tuesday,0,25,Male,No-Show
BK_00174,CUST_1289,Hair Coloring,2500,2025-11-14,2025-11-15,18,1,7,0,0,Pay at Salon (Cash),Jayanagar,Saturday,1,19,Female,Show
BK_00175,CUST_0161,Hair Coloring,2500,2025-11-20,2025-11-23,12,3,1,0,0,UPI Prepaid,Jayanagar,Sunday,1,18,Female,No-Show
BK_00176,CUST_1883,Hair Coloring,2500,2026-01-13,2026-01-14,17,1,2,0,0,Pay at Salon (Cash),Koramangala,Wednesday,0,35,Male,No-Show
BK_00177,CUST_1238,Haircut,500,2025-09-22,2025-09-27,19,5,5,0,0,Card on File,Koramangala,Saturday,1,37,Female,Show
BK_00178,CUST_1501,Facial,1500,2026-01-20,2026-01-23,12,3,10,0,0,Pay at Salon (Cash),Indiranagar,Friday,0,39,Male,Show
